標題,問題,回答
 可能是糖尿病嗎,我因為口臭已經找了很多醫生了.可是問題並沒有解決令我很困擾 我的症狀是嚴重口臭.小便很多泡泡.有時會胸悶.精神不振. PS:我患有痛風.有吃藥控制中.還有2年前有驗糖尿病.結果是在患糖尿病的臨界點. 請醫生一定要幫幫我.我真的很痛苦,您好： 回覆您的問題。 口臭的原因很多，包括口腔、耳鼻喉科、、氣管、食道、胃、甚至於代謝的問題，而「小便起泡泡」一般要考慮蛋白尿、腎炎、泌尿道感染等等，也可能是正常的。此外，胸悶、精神不振的原因更多，包括心臟、或者精神方面等問題。至於，糖尿病的診斷除了空腹血糖的檢測之外，有時還要檢查飯後血糖、耐糖試驗等。 綜上所述，由於太多問題的混雜，無法逕行回答，討論、釐清後，再做定奪
 糖尿病,您好: 請問睡前吃太妃糖或其他糖類食物會得糖尿病嗎? 若是睡前喝可樂呢? 是不是有猛暴性糖尿病這種疾病存在呢? 謝謝回答!,糖尿病是一種慢性疾病 它只會悄悄的來不會突然出現也不會突然消失 並不是每一個吃多了甜食的人就會得糖尿病 建議您多運動並且飲食均衡保持身材 定期( 50歲以上每年一次 )健康檢查 如此一來得病的機率也降低 謝謝您的來函 希望上述能解決您的困擾
 糖尿病,"請問患有高血壓與糖尿病的病患, 所開藥控制, 日常飲食應注意那些?蕃薯吃多了對糖尿病患有何影響?","一.高血壓與糖尿病的病患應攝取低糖和低鹽的食品.而糖尿病患者的飲食控制,對於血糖的控制甚為重要. 二.糖尿病的飲食原則條列如下: *遵循與共同協商的飲食計劃,養成定時定量的飲食習慣. *均衡飲食,依據飲食計劃適量攝取主食類,水果類,油脂類,奶類和肉魚豆蛋類. *多選用富含纖維質的食物,如:未加工的豆類,水果,蔬菜,全榖類. *少吃油炸,油煎,油炒和油酥的食物,以及豬皮,雞皮等油脂量高的食物. *避免攝食含膽固醇高的食物,如:腦,肝,蛋黃等. *飲食儘量清淡不可過嫌,避免攝食加工或醃製的食物,烹調食物改採燉,烤,燒,清蒸,水煮,涼拌等方式. *儘量少吃富含精緻糖類的食品如:糖果,煉乳,蜂蜜,汽水,罐裝或盒裝的果汁,加糖蜜餞,蛋捲,中西式甜點心,加糖罐頭等. *儘量避免喝酒. 三.蕃薯主要的成分為澱粉,在人體內會代謝成葡萄糖.所以蕃薯吃了會使血糖上升,故糖尿病患者不宜多吃"
 是糖尿病嗎?,您好: 我自從11月份開始就有血尿發生，照x光和超音波沒有結石也正常，尿驗結果是有白血球與紅血球，醫生是跟我說可能是尿道發炎，接著醫生告訴我說我的尿糖過多，驗尿兩次都是3+，驗尿是4+，而且也是從11接近大腿那裡的外側一直到接近腳底那都會酸痛，腳底和腳指也會微麻，我的情況是否就是糖尿病呢？還有糖尿病是如何發生的？該如何治療呢？,您好： 回覆您的問題。 糖尿病的診斷標準，一般而言為： 空腹8小時以上的血漿血糖值大於或等於126mg/dl。 臨床上有多喝、多尿、多吃、體重減輕等糖尿病症狀，同時任意血漿血糖值大於或等於200mg/dl。 口服葡萄糖耐量試驗2小時血漿血糖值大於或等於200mg/dl。 閣下尿糖為3+或4+，其血漿血糖值應在200mg/dl以上。因此，建議您速至內科或家庭醫學科門診診治。至於右下肢酸痛，小便有白血球與紅血球，可一併評估為宜。 糖尿病的原因很多，包括自體免疫抗體的破壞、胰島素分泌相對不足或胰島素阻抗。其治療以飲食控制、運動與藥物使用為主
 有關糖尿病用藥的分級,我本身是個糖尿病病人 平時有在服用Amaryl 及 Metformin 目前月經遲緩了13天 很擔心是否懷孕了 想請問我服用的這兩個藥物 分別是A B C D X 級的哪一級 我自昨天開始停用這兩種藥物 如果真的懷孕了 之前服用的劑量是否會對胎兒有不良的影響 心裡很焦急 請給我解答 謝謝,您好： 回覆您的問題。 根據美國藥物食品管制局（FDA）及臨床醫學的報告 Amaryl(Glimepiride)屬於class C，指在動物實驗內，對於胎兒有傷害；但是，缺乏人體試驗；甚而，連動物實驗的證據都闕如之類。因此，必要時，可以考慮謹慎使用。 Merformin屬於class B，指動物實驗顯示對胎兒沒有傷害，或都有傷害，但是缺乏人體試驗的證據，特別是在懷孕前期或後期。閣下罹有糖尿病，如果有懷孕的計畫，討論為宜。雖然，已經服用Amaryl和Metformin；理論上，可能不會有明顯傷害。但是，懷孕及哺乳的血糖控制，仍以胰島素注射為宜。詳細與確切的答案，討論較好
 糖尿病問題,"醫生你好: 我媽媽有糖尿病已有9年都有在吃控制血糖藥物 最近右手右腳會麻麻的現象,我有看你回答其他 人的問題知道這是糖尿病引起的,所以想請問你 有什麼方式復健或藥物可以改善,這病狀會好嗎? 謝謝",您好： 回覆您的問題。 一、糖尿病神經病變可能侵犯週變神經，引起遠端肢體的酸麻、疼痛等症狀。一般為手（hands）和腳（feet）。也可能引起近端肌肉的酸痛及無力。如大腿肌肉。但是由於糖尿病為代謝性的疾病，會影響全身的組織與器官，所以週圍神經病變大多涉及兩側肢體；較少出現單一神經病變。 二、令堂的右手右腳麻麻的，可以是糖尿病引起的，也可能是其他的問題，討論，再做定奪。 三、糖尿病神經病變的改善，主要依賴良好的血糖血壓及血脂控制；必要時，再開立藥物或從事復健
 糖尿病三多的定義與何謂糖化血色素,您好請問幾個問題 麻煩您了 多喝 多尿 多吃 的標準是多少可有個數值 何謂糖化血色素 自己買儀器可以檢測嗎 如果血糖有時正常有時不正常驗血糖比較準還是驗糖化血色素比教準 飯前驗血糖最少要幾小時? 未來的生化科技可以跟治糖尿病嗎?如果可以是那個國家? 花費是多少?如果有的話可以用信箱告訴我嗎? 大恩不言謝 但還是要謝謝您 祝您順心^.^,"您好： 回覆您的問題。 一、正常人的飯前血漿血糖值為70到110mg/dl而飯後兩小時血糖值為80到140mg/dl之間。 臨床上，診斷糖尿病的標準之一為“空腹八小時以上”的血漿血糖值大於或等於126mg/dl；另外一個診斷標準為具有多喝、多尿、多吃、體重減輕等糖尿病症狀，而且任意血漿血糖值大於或等於200mg/dl。 二、這裡回答了兩個問題。第一個，飯前血糖一般指空腹八小時以上。第二個，多喝、多尿、指的是症狀；臨床上，沒有確切的數值。而是以個人與旁人的觀察為考量，注意是否比平常時候為嚴重或明顯。 三、糖化血色素指紅血球內的血色素與血糖結合，產生所謂的糖化作用，稱為糖化血色素（Glycated Hemoglobulin,-1BA1C）；一般糖尿病患者，我們希望糖化血色素的數值在7%以下，甚至5%以下。臨床上，糖化血色素不被用來做為糖尿病的診斷標準；而且由於檢驗技術與品質管制較困難，尚未有類似“血糖機”的使用與推廣。 四未來的生化科技可能是糖尿病治療的願景之所繫，有胰臟或胰島腺的移殖之外，尚未有可行的生化或基因療法，可以根治糖尿病"
 請問家人有心臟病及糖尿病要如何準備飲食呢,"親愛的你好: 家人本身有心臟病,近期檢查出有糖尿病,想請教的是,如何幫忙料理三餐呢? 以維持良好的狀態,不惡化呢",惜福：你好 心臟病有好幾種不同診斷，如果是動脈硬化的心臟病，那麼它的飲食製備方法和糖尿病原則相同，即適當油脂、適當鹽分與均衡飲食。 糖尿病飲食在食物種類上和一般健康飲食一樣，需含六大類食物之均衡飲食即肉、魚、豆、蛋類、蔬菜、水果、炒菜油脂、奶類及五穀根莖類，但是食物份量需依個人身高、體重、活動量、配合日常飲食習慣設計。 本院有糖尿病門診、有糖尿病衛教門診、也有營養諮詢門診，都可以提供這方面諮詢，因為不知道您家人上述資料，無法做詳細解答，為更精確知道疾病與飲食需要，你可以帶你的家人，看糖尿病門診或心臟科門診或營養諮詢門診，都可以提供更詳細疾病治療或飲食需求資訊。 敬祝你愉快 加油喔！ 雲林分院劉玉來
 糖尿病的針可以用兩次嗎?,"每天我都要重複打兩次針,我有點顧慮針頭的衛生安全",注射之空針若是個人使用，原則上可重複使用，但須考慮注射的時候有否污染到針頭，及用後保存的情況，目前胰島素針頭已經做的愈來愈細，注射比較不會有疼痛感，重複使用針頭容易鈍掉及針表面的潤滑劑效果變差，注射時較疼痛，仍不建議重複使用，用過就丟棄，使用過後的針筒，最好利用鐵罐裝置將之存放，以免針尖誤扎(目前垃圾分類)。處理(屬醫療廢棄物)
 糖尿病/胰島素保存,請問已開封使用中的胰島素(我們是使用Novo Nordisk Monotard HM 100 iu/ml胰島素鋅懸浮液生合成人體胰島素)是應該 1) 置於冷藏室 還是 2)存於室溫25C? 說1) 藥劑說明書上說2) 日本NHK醫療知識書說2) 謝謝您,"胰島素貯藏經4度C左右冷藏室可保存較久的時間(未開封可達年,已開封有個月)已開封的胰島素放於溫室，保存期不超過一個月，正在使用的胰島素多半是放在冷藏室存放，但如在短時間內就會用完，放在室溫也可以"
 糖尿病可以懷孕嗎？,您好： 今年四月份時，梧棲院區，我聽從醫生建議將膽囊切除，且住院十八天後才出院。 住院期間，醫生告訴我的血糖偏高，可能會造成糖尿病，建議我出院後要按時服藥且定時回診，我均遵照醫生指示去做。 沒想到發現我的藥越吃越多，十一月份回診時，醫生告訴我的病其用藥量已達上限，若無法控制下來，必需打胰島素，我很擔心必需打一輩子的針，而且我還年輕，我還想要懷孕。 ，我現在的身體狀況可以懷孕嗎？ 最近測量糖化血糖值為0(四月)，6(七月)，3(十月)，飯前血糖120~200，飯後二小時血糖120~190。 請您撥空解說，感恩不盡,您好～ 糖尿病是可以懷孕的，但是在懷孕期間，須特別注意血糖之控制，依您附上之資料，您血糖控制得並不理想，糖化血紅素應控制在７以下，飯前血糖應在１２０以下，飯後二小時應在１３０以下 除了藥物外，運動及飲食控制，在血糖控制上應扮演重要角色，所以建議您有機會，可和談談，做糖尿病衛教，謝謝!!
 糖尿病,"請問 聽說 紅心芭樂乾煮水當開水喝可降低血糖是否正確 香椿可降血糖,對嗎? 謝謝",瑭瑭：你好 糖尿病仍是以接受治療為準則 ，所有食療都只是輔助而已。 新鮮土芭樂煮茶或 紅心芭樂乾煮水當開水喝或香椿，都有人提過，但真正要說它可不可以降血糖，應該要有更嚴謹實驗階段才可以。 建議：紅心芭樂乾可以煮水當開水喝，香椿也可以吃，但仍要接受治療喔! 雲林分院劉玉來敬上
 有關糖尿病的血糖問題,症狀： 睡前血糖.空腹血糖反而121反而比較高 持續時間： 每天 補充說明： 我幫我爹問的他是糖尿病病患。 晚上喝水會不會影響空腹血糖值,你的血糖，睡前１０５，空腹１２１，在糖尿病人理想血糖範圍９０－１２０，算控制得很好，若能每３至４個月再追蹤Ｈ６Ａ１Ｃ（糖化血色素）維持小於６．５％就更理想了．喝點水並不會影響空腹血糖值，但若心臟衰竭，肝硬化，慢性腎病的病人喝太多水，恐怕會有影響了
 糖尿病,我的男友於幾個月前被診斷出有糖尿病. 因此而較易受傷. 醫生建議割掉包皮以防受傷. 但若血糖控制得宜的話 是否仍有割包皮的須要? 且因糖尿病的關係使得他排便較不順暢. 請問您 是否有任何方法可改善? 謝謝您解答! p.s.男友的年齡為44 Ms. H,糖尿若控制得宜，一般不用割掉包皮，只要預防受傷即可；排便不順可多吃疏菜、水果，適量運動也有助腸子臑動
 擔心,"想請教一個問題 今天洗衣服時發現小褲褲上有三四隻小螞蟻在覓食。不禁讓我擔心會是糖尿病招來螞蟻的嗎?因為媽媽那邊有遺傳史,媽媽也得到20多年的糖尿病。 而我以往所驗過的血糖都正常,尿糖也沒有,但是偶爾會有酮體出現,這算徵兆嗎? 這幾天有陰道感染症狀所以分泌物也微多,so分不清螞蟻到底是為何而來?陰道分泌物也會招來螞蟻覓食嗎?還是我真該去再好好驗一下血糖尿糖呢?(ps.到目前為止還沒有吃多喝多尿多的症狀,體重也沒明顯變輕。)",您好： 回覆您的問題。 1、糖尿病的確與遺傳相關，但是良好的飲食習慣與規律的運動，可以有效地避免其發病。 2、尿液有酮體出現，可能由於糖尿病引起也有可能是飢餓所導致，或其他原因。 3、尿糖或陰道分泌物，及其他相關的因素，都可能使內衣褲招致螞蟻爬行，所以螞蟻覓食僅能提供參考。臨床上，仍然要依照症狀、血糖與相關的試驗來判斷糖尿病才好。 4、聯絡討論為尚
 how am i supposed to do?,我的父親~一生個性剛強~even近3年來~為糖尿病所苦~卻沒有讓周遭任何一位親友知道~一直到去年的~我回到家~發現父親居然躺臥在床上~問了句~爸爸~~你怎麼在偷懶呀?父親簡單的回答我~腳痛~第二天~去檢查~鞋跟襪一脫下~才發現~原來父親的腳指已經2隻壞死~~~所幸~經由足背動脈繞道手術及不斷的給予高壓氧的輔助~父親切除了三趾~肉芽組織長的也非常良好~~於今年的做了最後補皮的動作。更非常樂觀的表示~父親將於可以出院。~星期日清晨~開始~父親表示了心臟非常不舒服~說快停止跳動~並不斷的喘~接下來~父親開始突然的胡言亂語~出現了幻聽幻視~我不知所措~盡快過來。來了~~~只回答我小姐~我並不是從頭到尾照顧你爸爸你爸爸現在沒有危及到生命你爸爸現在這樣胡言亂語就是老人癡呆症~我不懂你為什麼那麼緊張~現在是假日~你要是有疑問~等星期一。就這樣~沒有做任何的處置~走了。~父親嘆了一口氣~心跳呼吸停止~~急救10分鐘後~送icu。出加護病房~但~之前的努力~全然白廢~我相信~~都感到非常的受挫~喪氣~因為父親的兩條腿~~全黑了。截肢是勢在必行的路~但是現在~除了腳已然全黑~還有腎~心~肺水腫~金黃色葡萄球菌感染~褥瘡。 我不知道接下來該怎麼做了~每當我閉上眼~我腦中出現的~永遠是那個完好如初的爸爸~無論我怎麼問~我得到的答案永遠是~~~控制中。如果可以控制~為什麼連一個最基本的因電解質失衡所產生的急性瞻妄症~說成了老人癡呆?我不懂的事太多了。~您是我最後一道防線~請您教教我~我該怎麼做??,您好： 回覆您的問題。 來文得知令尊的情況，深表遺憾。由於糖尿病的後遺症包括：大血管疾病如：心臟、病變及小血管疾病如：視網膜、腎臟及末稍血管神經病變。接受截肢處理，所發生的臨床症狀，必須由在場的醫護人員判斷及處置，在此無法提供相關建議。但是電解質不平衡是會造成意識混亂，甚至昏迷；在臨床上是必須檢查後才能診斷。討論
 糖尿病減重方法或建議食譜,好: 目前我的血糖在未進食前量為前陣子太冷而吃多了血糖一度升至 目前體重78 身高158 以Amaryl 0 5 pcs/日 控制 每日專心運動 分鐘. 但體重一直無法下降又不敢亂減肥. 說吃這種藥體重會上升我已盡力維持這種體重2年以上.再加上有家族遺傳高血壓 目前控制在 1 105/p 有什麼方法或食譜是可以安全又可控制血壓血糖的. 麻煩您! wpi,wpi您好： 由您的來信看來，您似乎已了解理想體重對糖尿病控制的重要性，依據您的身高，體重應介於公斤為佳，不過您的血糖值看來算是控制的蠻不錯，再加上每日持續運動分鐘，一般而言體重應會漸漸地下降，不過不知您以此種方式控制持續多久時間了呢？建議您體重下降的速度以2公斤/月較為適當，如果您符合此速度，切忌別太心急；之營養門診與諮商，重新調整您的飲食習慣或攝食量，甚至加強您的運動強度，相信效果一定更顯著，加油！祝您成功！ 莊宜蓁17
 糖尿病?,"請問: 如果天天至少喝市面上的一種飲料,會不會容易得糖尿病呢?(平時還是有喝水) 謝謝您的回答!","國外的研究曾發現,飲食中糖分負擔較大的人是有較高罹患糖尿病的機會,所以你所說的事情,可能會有一點點的影響,但影響應該不會太明顯"
 糖尿病的歲病患！？,您好：我實在是求助無門，是這樣的，我結識一位女性朋友她告訴了我她有糖尿病遺傳的疾病，經過診斷是第一型的症狀。每日必須打胰島素維持血糖，我非常希望能治療她，可是聽說目前沒有辦法能根治這種病！我很想知道我所能為他做的事情有什麼？運動的話？究竟需要多少的量才足夠呢？聽說腳步可以太過疲勞及受傷嗎？若是選擇打球等陸地上運動對腳好嗎？（我真的很怕面臨嚴重後果） 我把我的問題整理一下！ （一）問題：布鞋好還是皮鞋好呢？最好要有氣墊嗎？是不是常常要按摩方式是推拿腳底嗎？保養方法？我女友他那醫生沒詳盡說明之。 （二）尿道問題：穿著丁字褲或是一般用內褲有差別嗎？如果性行為該注意哪些？大動作？或是不適合之體位嗎？ （三）遺傳問題：本身是家中獨子，倘若考量遺傳問題？那該怎麼辦？有辦法注射疫苗或是完全避免嗎？ （四）治療問題：每日控制好血糖、適量運動是否就能避免年齡增長以後之糖尿病較嚴重性問題？譬如：失明、截肢、中風、等等。 醫生我很需要您的幫助喜歡上一個人卻患上不治之症！怎能復原呢？,"感覺神經異常,潰瘍的機會，如有 潰瘍,可考慮特製鞋類. 年輕女性如有血糖控制不是特別差,泌尿道感染一般還不是大問題 母親有第一型糖尿病,子女遺傳到第一型糖尿病的機會約在1% 控制好血糖可以大幅減少併發症產生的機會"
 糖尿病飲食,您好: 知道您對糖尿病頗有研究.想請教您:我父親日前驗出有糖尿病.是否有”糖分”的東西都不宜攝取呢?澱粉含量很高的東西{例如饅頭}是否也不宜?您可否告訴我有哪個網站可以知道{可以吃和不能吃的}詳盡的資料?謝謝您!,Dear sasa 小姐你好： 回覆您的問題。 不少人以為糖尿病患者不應吃米飯、麵包等碳水化合物食物，其實這是不對的。糖尿病的控制最重要的在於均衡的飲食以及體重的控制，患者應攝取適量的碳水化合物，例如主食可選擇全麥麵包或是白飯，但應儘量避免吃炒飯、油飯等油膩的食物，也儘量不要吃白麵包。一般來說，建議每天的熱量要有約50%來自於碳水化合物，脂肪類應提供的熱量要少於10%，剩下的由蛋白質來提供。 低油脂的烹飪方式是重要的飲食原則，如水煮、烘、烤、燜、蒸，或由微波爐烹煮而成的菜式，要比煎、炸的油膩食物好得多。 另外要減少鹽分的攝取，因為高鹽飲食會增加糖尿病人患上高血壓、中風和心血管疾病的機會。 適量的攝取纖維素可以減少油脂的吸收。水果含有豐富的纖維素及維生素，糖尿病患者可以多加攝取；但要注意大量進食水果可能造成血糖迅速升高，這會加重胰臟的負擔。吃水果應該要空腹時吃，如作為早餐或睡前點心，但不應作為餐點心。 最後要嚴禁菸酒。吸菸會刺激分泌腎上腺素，使血管收縮，血壓上升，並抑制胰島素的分泌而使血糖也上升；長期飲酒，可發生高血脂症及代謝紊亂，加速病人血管硬化。 提供幾個除了網站作為飲食上的參考： ~t221/teaching-htm 除了飲食控制之外，要鼓勵病人有適當的運動，才能達到理想的體重控制。 糖尿病是一個需要長時間控制的疾病，單靠定期的門診追蹤及規則服藥是不夠的；最重要的是病人的毅力及家人的耐心與支持，做好飲食控制，適當的運動，才能做到理想的體重控制。加油！
 糖尿病,您好: 冒昧想請問您幾個問題。 問題一：家父患有糖尿病大約已有一年之久，每天都有在服用糖尿病的藥，但是在飲食方面都沒有很注意的在控制，並且有常飲酒的習慣，想請問一下這樣會不會很危險？謝謝～ 問題二：請問家父患有糖尿病適合吃人參嗎？謝謝～ 祝福您： ～～順心～愉快～～,"糖尿病的治療包含飲食.藥物.運動.健康的生活型態,血糖及其他代謝得監測,只服藥是不夠的,沒注意飲食.血糖仍不好控制,建議接受營養的指導,並定期測血糖.血脂.蛋白尿.糖化血色素.腎功能.血壓.了解疾病的控制狀況. 飲酒過量會造成血糖控制不良,三酸甘油脂過高.脂肪肝.如有上述情形最好少喝,若無上述情形可少量喝一些,例如啤酒12盎司,酒5盎司.蒸餾酒5盎司.且是在進餐時喝 人蔘可以降血糖,提高身體的抵抗力,提高新陳代謝,消除疲勞,預防肥胖, 預防動脈硬化和心臟病,但不是每個人都可以服用,尤其是腎功能障礙水腫 的人,比較安全"
 糖尿病,"你好,我今年30歲,170公分,80公斤,常常爲了低血糖困擾不已,該如何吃才能控制好血糖在標準之內?",你好 首先要注意飲食均不均衡.是否依據設計量.有無額外活動量. 有無腹瀉。等症狀 藥物量對不對 聯絡 很重要一定要聯絡哦 劉玉來
 糖尿病及水腫,"您好: 我母親患糖尿病在榮總看新陳代謝科及拿藥,且已有四年之久了,我們覺得她排尿量真的很少,平時她吃東西也不多,但是看起來就是腫腫胖胖的,請問在日常生活當中,有任何的食物,或要調配什麼樣的飲料,才能讓她有正常排尿量呢?謝謝! Best Regards, Claire","依您的描述,你母親可能是有糖尿病腎病變,小便很少,身體有水腫 ,可考慮使用利尿劑,避免鹽分過多攝取,可減少水腫的狀況,你需要 討論,決定適當的治療方式"
 請問糖尿病指數,"蕭您好: 家母今年72歲,今年健康檢查發現糖尿病指數(血糖指數?)有130,正常上限值是110,但醫生說還算輕微,不需吃藥,只要飲食注意就好了,請問是真的嗎?如要吃藥,是不是就算指數正常後還要繼續吃?又,一般的飲食要如何忌口?水果要忌嗎?以上如蒙解惑,將不勝感激!","您好： 回覆您的問題。 1、正常人的飯前血漿血糖值為70到100mg/dl，飯後兩小時血糖值為80~140mg/dl.空腹8小時以上的血漿血糖值130mg/dl,的確稍微偏高；如果於不同時間再度檢查，仍然大於WHO於1998年修正的標準126mg/dl,即可稱為糖尿病。 2、糖尿病的治療主要包括飯食、運動及藥物三項；並非所有病人都需要服用藥物。飲食方面，主要避免高膽固醇、高油脂的食物，少吃加工食品，飲食儘量天然、高纖為宜。水果亦是。另外，每日攝入的總熱量，宜有所約制。至於運動方面，如先前沒有固定的型式及習慣；可從每日散步30~60分鐘開始。 3、由於糖尿病的治療，關係到生活型態及飲食習慣的調整，而藥物的取捨又與之交互作用，討論才好"
 糖尿病鼻子會爛掉嗎,聽說糖尿病腳會爛掉 請問得到糖尿病沒有去看醫生的話 手會不會也爛掉 還有 鼻子會不會爛 眼睛一定會瞎掉嗎,"您好: 回覆有關您的問題: 糖尿病是一種新陳代謝的疾病,主要因為胰臟的β-細胞分泌胰島素有缺陷,造成胰島素的量相對地不足,或者無法充份發揮其作用,而引起血糖升高的情形。 就糖尿病引起的大血管病變而言,心臟病約在2~0%之間,腦血管疾病約在3~6%之間,末稍血管疾病約在6~8%之間,而糖尿病患主要死因百分比為心臟病5%,腎臟病7%、腦中風1%、壞疸9%、感染3%、糖尿病昏迷2%、癌症0%。 因此,腳、手、鼻、眼睛病變的發生率在糖尿病患,的確高出甚多,不過只要藥物、的建議下配合,仍然可以控制在正常的水準。 如果有糖尿病患的話,討論才好"
 DM問題,"您好: 我母親得到糖尿病已經二十多年(家族遺傳),打胰導素也有五年多,本來都是父親幫忙打針,後來這幾個月母親自己學會自己打針,可是方法不對!最近她向我發問問題說為何她自己打針後的最後推針時都會有像空氣一樣的聲音--”啵”?我才赫然發現她都沒將前段的空氣(一般新空針都不會推到底的所以還有前段的縫隙啊)先打掉才抽,所以難怪會有”啵”的聲音了;因為我也是學護理的,所以我知道不該將空氣打入人體中,雖然胰導素針較一般針小短,進入的空氣也不是許多,也不是直接打在血管內,可是因為我媽的操作方式已經持續近半年了,我擔心會不會有累積性後遺症?對心臟會不會也有傷害性呢?還是空氣會被組織吸收掉或排出。;目前我母親人是都安然無恙,但我還是想請教一下專業人員,加以了解,謝謝您~~~!","極少量的空氣打入皮下應該會被吸收,不會對人體產生明顯危害"
 糖尿病高血壓,"我爸爸有在服用糖尿病的藥,之前也因為攝護腺檢查細菌感染而吃藥,這一陣子常咳嗽(已戒菸),前一陣子曾在報紙上看到,糖尿病(還是高血壓。忘記)的藥裡面,有一種藥是較容易引起咳嗽的,但是沒有及時把那篇報導剪下,是哪種藥會引起此種毛病?解答,謝謝您!!",高血壓藥物中有一類藥物容易引起咳嗽，這類藥物適血管昇壓素轉化脢抑制劑 ，常見藥物有Capoten、Renitec、Zestril、Tritace、Acertil等
 有關糖尿病的飲食,"你好: 我媽媽有高血壓,但最近因會頭暈抽血檢查發現血糖過高,說吃飯前後一小時不可以喝湯或茶.請問原因是什麼?是因為有吃白飯的原因嗎?若是那如果沒吃白飯的話可以再吃菜時一起喝湯嗎? 是否澱粉的食物不可以吃?飲食因如何控制? 謝謝","您好: 關於您母親的問題,一般糖尿病患者飲食控制原則為<三餐定時定量> 找幫她設計針對她個人所須攝取的每日建議攝取熱量及六大類所須攝取的份數為何,即能正確得知她所應攝取的五穀根莖類(澱粉類)為多少,一般輕度工作的女性主食類的攝取每餐約為8分滿至1碗飯的量,而若攝取麵食或地瓜,馬鈴薯,麥片,麥粉,紅豆.綠豆等皆為主食類,必須與米飯做替換, 8分滿飯=1碗半熟麵條=1碗半稀飯=6平匙無糖麥粉(麥粉,薏仁粉,山藥粉) =8分滿煮熟綠豆=5片薄土司=9塊蘇打餅乾等 另外水果所含糖類不少,一天以攝取份為原則 1份水果=中型水果(蘋果,芭樂)半個=小型水果(小蘋果,橘子)1個=葡萄10個 =半根香蕉=2個小蓮霧等 找指導,如此對您母親而言才是長久之計. 另外如果正餐要喝湯,只要湯不是煮的很油膩,不是勾芡的湯是可以喝的 平常要注意的是每餐每日所攝取的總熱量,醣類是否過量! 還有因您的母親患有高血壓,平常醃製品,加工食品應少食用!煮菜所用的鹽,醬油等調味料也應限制添加量! 以上回覆您的問題,若有任何疑慮歡迎再來信!"
 早晨起床後發現全身水腫,我岳母今年五十歲，患有家族性糖尿病，目前定時服藥控制，皆會水腫，不知可能是何病症？與腎臟功能是否有關？,"您好: 回覆有關您的問題: .水腫的原因很多,一般分類如下: 靜脈壓增加:包括鬱血性心衰竭,瓣膜性心臟病,心包 膜疾病,腎臟病變,內分泌疾病,血管病變等. 低白蛋白血症:包括肝臟病變,營養不良,白蛋白流失 等. 微血管性水腫:過敏,血管炎,自癹發性水腫等. 淋巴性水腫:先天性異常,淋巴轉移病變,醫源性淋巴 水腫等. 藥物引起的水腫:包括非類固醇抗發炎藥物,降血壓藥 物,賀爾蒙,類固醇精神科藥物等. 糖尿病的併發症包括腎病變,神經病變,眼病變,心血管病 變,腦血管病變等等,也可能有其他疾病與糖尿病一起發生, 水腫的原因,無法在網路上做鑑別診斷. 所以您的岳母宜至內科門診做整體的評估,再做定奪"
 糖尿病的迷思,我先生現年30歲，在27歲那年發現糖尿病，一直吃中藥控制，中藥一天吃4次（早、中、晚、睡前），但晚餐飯後血糖在350附近，飯後運動半小時，飯後2小時再量血糖是250附近，隔天空腹血糖是130~160，在網上看到一則報導，有一種降血糖新藥叫諾和隆（NOVO NORM），是控制飯後血糖。 的是 先生這樣的病情，是不是控制不理想？是否應改吃西藥？ 若改吃西藥會不會造成藥吃愈久，藥量愈重，導致胰臟刺激到最後沒有功能，須打胰島素？ 若是吃諾和隆這種藥，有什麼副作用？ 中藥是不是都沒有副作用？ 若是吃西藥，可以配合中藥（保養腎），會不會有衝突？服用西藥與中藥最好間隔多久？ 我們是居住在高雄市，？ 為我們解答,"1>在二十七歲得糖尿病,必須先確定第一型或第二型. 2>目前西藥相當進步,而且副作用幾乎沒有,通常只擔心低血糖 NOVONORM 屬於第三代糖氨類藥物,副作用更小 3>胰島素注射目前多屬基因合成,非常安全方便 . 4>飯後血糖正常人不應超過200UG/ML,飯後血糖350太高了,一般西藥 在飯前半小時給藥,目的即在控制飯後一小時的血糖最高值.若在第 一型病患則可採短效胰島素多次注射. 5>詳診"
 歲以上糖尿病,我爺爺是糖尿病患者 最近晚上睡到一半會開始大叫 一直翻身 很不舒服 無法入眠 請問這跟糖尿病有關係嗎? 用血糖機量出來是40過低 有給飲料 蜂蜜等甜食幫助血糖提升 但效果不彰 這症狀大概持續半小時 發作時大叫 用力翻身等 因血糖過低 無法正確表達身體哪裡不適 尤其天氣冷發生機率越大,網友你好： 依據你所附的血醣記錄確認是低血糖，處與其討論血糖用藥的調整；夜晚的大叫等症狀亦可以和血糖有關，討論，且在症狀再此發生時檢驗血糖值。 願你爺爺身體健康
